Date,ret
1985-10-31,0.004102683084806991
1985-11-30,0.16526753069243072
1985-12-31,0.0803470075899595
1986-01-31,0.012673472776627781
1986-02-28,0.09230104167232556
1986-03-31,0.10490190934108323
1986-04-30,0.0692199927586925
1986-05-31,0.0762074419903862
1986-06-30,-0.018263165739836662
1986-07-31,-0.12694350075208827
1986-08-31,0.09430612972491681
1986-09-30,-0.11991701062281579
1986-10-31,0.07212451476135229
1986-11-30,0.0131003447092779
1986-12-31,-0.07317816482181061
1987-01-31,0.27285157885434685
1987-02-28,0.09326654649188115
1987-03-31,0.0224737693380459
1987-04-30,0.002317532847636583
1987-05-31,0.024579378666844454
1987-06-30,-0.009098888518021875
1987-07-31,0.06597796114005283
1987-08-31,0.11763686173188592
1987-09-30,-0.03070818054662272
1987-10-31,-0.1785812384166735
1987-11-30,-0.004666738756129329
1987-12-31,0.04015176810253562
1988-01-31,-0.018067952913729313
1988-02-29,0.021107709678345632
1988-03-31,0.012301838141777877
1988-04-30,0.009634148799407383
1988-05-31,-0.022140339939744846
1988-06-30,0.07404528634646002
1988-07-31,-0.07465602877999411
1988-08-31,-0.09665715769417393
1988-09-30,0.05176798239310387
1988-10-31,-0.047667283005093264
1988-11-30,-0.04959267854836946
1988-12-31,0.06736644523835777
1989-01-31,0.07545572480360763
1989-02-28,-0.037304840134173345
1989-03-31,0.0034010864482620917
1989-04-30,0.1341828677769228
1989-05-31,0.1324348836988063
1989-06-30,-0.06715353913949207
1989-07-31,0.08120438581993938
1989-08-31,0.05552092245532214
1989-09-30,0.03131921553449302
1989-10-31,-0.030566225613760545
1989-11-30,0.007916433646754095
1989-12-31,-0.021359557345306146
1990-01-31,-0.08599382218841722
1990-02-28,0.03338569949950143
1990-03-31,-0.0018738798381279231
1990-04-30,-0.05117927468360095
1990-05-31,0.1788419864510291
1990-06-30,0.0044802688200555885
1990-07-31,-0.08160509543483341
1990-08-31,-0.05170297720400718
1990-09-30,-0.041822224539926456
1990-10-31,-0.02091145639359704
1990-11-30,0.03703604759184653
1990-12-31,0.016137083924779416
1991-01-31,0.09153612423308433
1991-02-28,0.04803347250943113
1991-03-31,0.05882020536813437
1991-04-30,-0.01833716863109558
1991-05-31,0.051952910083166826
1991-06-30,-0.10732605825439367
1991-07-31,0.06585702176053077
1991-08-31,0.03623755560498343
1991-09-30,0.011145054431331847
1991-10-31,0.041814530421602436
1991-11-30,-0.03200130926830591
1991-12-31,0.1499743244986962
1992-01-31,0.0006492657651528955
1992-02-29,0.011466000262448262
1992-03-31,-0.08899440648851453
1992-04-30,-0.0570422225752375
1992-05-31,0.033674992020523487
1992-06-30,-0.07577550507265385
1992-07-31,0.044345680964589684
1992-08-31,-0.04934361325777692
1992-09-30,0.08327552927507353
1992-10-31,0.01874869733224882
1992-11-30,0.07386403196565361
1992-12-31,0.03383012640893912
1993-01-31,0.04224307756279111
1993-02-28,-0.07639916366279154
1993-03-31,0.035990786949041675
1993-04-30,-0.06436077675729157
1993-05-31,0.10506335629846064
1993-06-30,0.0037848572364138633
1993-07-31,-0.045429260641312585
1993-08-31,0.07190887477953001
1993-09-30,0.02612320984725902
1993-10-31,0.028305847330534428
1993-11-30,-0.018300274006896378
1993-12-31,0.04946933124045416
1994-01-31,0.0669159769385772
1994-02-28,-0.03779724643399962
1994-03-31,-0.10106865426511213
1994-04-30,-0.011913868237475755
1994-05-31,0.01882470067216957
1994-06-30,-0.028554133637200052
1994-07-31,0.007349538413668366
1994-08-31,0.10174069671174535
1994-09-30,-0.0021089978869252013
1994-10-31,0.03176146429116056
1994-11-30,-0.03245718176321655
1994-12-31,-0.0019177441664676165
1995-01-31,-0.008982248227200729
1995-02-28,0.09459566891105875
1995-03-31,0.05183140343246828
1995-04-30,0.0679072689108915
1995-05-31,0.04732508799763524
1995-06-30,0.11232053613592341
1995-07-31,0.05352140512885817
1995-08-31,0.01038940966665547
1995-09-30,0.03450461272398475
