Start,End,Years,CAGR,Vol,Sharpe0,Sortino0,MDD,Calmar,Terminal,WorstRolling3yCAGR,MedianRolling3yCAGR,WorstRolling5yCAGR,MedianRolling5yCAGR,WorstRolling10yCAGR,MedianRolling10yCAGR,Variant,NMonths
1985-10-31,2026-05-31,40.580424366872,0.20616548061102025,0.19737087485421362,1.0540640432750819,1.8537228224469933,-0.2940323576067402,0.7011659610836459,2011.5292548662064,-0.015125463632013947,0.1952678635955083,0.028453915060654422,0.19331812438992602,0.0823762520107949,0.20105982868640626,BASE,488
1985-10-31,2026-05-31,40.580424366872,0.2137428442178293,0.21114925880067792,1.0288410321419497,1.8651477420738378,-0.3564552301871382,0.5996344733267479,2593.5610523499395,-0.100900507641563,0.2094539134992608,0.005375495389741802,0.20022031076537172,0.06063746239086121,0.2095231836299538,NO_GATE,488
1985-10-31,2026-05-31,40.580424366872,0.20700788220201916,0.19766110935323167,1.0563224434138343,1.8688899128951522,-0.2953877723870436,0.7008004445450735,2069.3349126609455,-0.022755243496152766,0.19659602149075184,0.02806572595017176,0.19421999530464107,0.08157627711704252,0.20047047642400373,H60,488
1985-10-31,2026-05-31,40.580424366872,0.20648170066290117,0.19755366677761096,1.0546423506877534,1.8490595503656206,-0.2936015235352759,0.7032718978315949,2033.041240041159,-0.014373335625642691,0.19519103182425446,0.026724169994087665,0.19312133707281398,0.08410505092102993,0.20126466132434562,H80,488
1985-10-31,2026-05-31,40.580424366872,0.19999875439135262,0.19718020993766264,1.0285490920667248,1.8043146358194662,-0.29806723748506825,0.6709853658484408,1633.7675762943456,-0.01791421891531142,0.18926626825099735,0.023451219009890112,0.1869335268274257,0.07828683754721877,0.19362509528475713,FIN_PLUS_100BP,488
1985-10-31,2026-05-31,40.580424366872,0.2008361619596415,0.19610394891670158,1.0367051034004577,1.833221178986923,-0.2947687765383653,0.6813345847486729,1680.678407562622,-0.029291552747467975,0.1910948490484714,0.023652559653732697,0.18865779280557482,0.07507240509360558,0.19874704781939956,MF_SCALE_75,488
1985-10-31,2026-05-31,40.580424366872,0.21081636199159415,0.19887583893207608,1.0672114814092548,1.8674607073945182,-0.2934488861354724,0.7184091402353102,2351.5374510051524,-0.0072733725064413335,0.19902745622611118,0.033485967708577036,0.19680870988076893,0.08906536810982013,0.2038496191576631,MF_SCALE_125,488
1985-10-31,2026-05-31,40.580424366872,0.20432550437102726,0.1974352701903051,1.0459418030173546,1.8388734708572412,-0.29554864139841064,0.6913430676055412,1890.6932036067112,-0.017663323415456622,0.19370093077599004,0.02684191719346396,0.191790684319896,0.08039545273157289,0.19962280489836104,GOLD_DRAG_70BP,488
1985-10-31,2026-05-31,40.580424366872,0.204814300361152,0.1973828409220755,1.048252574919913,1.8427169283976517,-0.2950814004405955,0.6940942399464596,1922.084838310003,-0.01697420420251594,0.19405878609809069,0.027309519508278424,0.19229512724969133,0.08084385785746884,0.20001167952014565,MF_FEE_150BP,488
1985-10-31,2026-05-31,40.580424366872,0.1896517013009733,0.2001334562116385,0.9723888205964534,1.7005290339968928,-0.27660476918403865,0.6856414727064549,1149.6581106073832,-0.0361593059353672,0.1820475095748486,0.018475983381053274,0.169851565771737,0.061817907948707784,0.18296954154777367,FX_HH,488
1985-10-31,2026-05-31,40.580424366872,0.1939832485205606,0.19901082759647093,0.9952439818834267,1.742777243162946,-0.2653723978914255,0.7309850235438838,1332.3582025730489,-0.028339172830754378,0.18659785351682956,0.029119495267756257,0.1751331451654825,0.07063285734324865,0.1886776617661301,FX_MF_H_CASH_U,488
1985-10-31,2026-05-31,40.580424366872,0.20191985774288934,0.1969884985160366,1.037553366545945,1.8225815073125324,-0.28999091999527116,0.6962971728431429,1743.3400728860377,-0.019262759519721562,0.18877968009201163,0.029361292514787696,0.1849386338646184,0.07360807222689059,0.19737612568592766,FX_MF_U_CASH_H,488
